,Simulation,NSubs,index,pvalue_cdiscr,pvalue_manova,pvalue_dcorr
0,No Effect,16,0,0.5994005994005994,0.23676323676323677,0.8111888111888111
1,No Effect,16,1,0.964035964035964,0.22977022977022976,0.7342657342657343
2,No Effect,16,2,0.22577422577422576,0.9310689310689311,0.1088911088911089
3,No Effect,16,3,0.06993006993006994,0.6213786213786214,0.25074925074925075
4,No Effect,16,4,0.9230769230769231,0.27172827172827174,0.8941058941058941
5,No Effect,16,5,0.7442557442557443,0.4565434565434565,0.3726273726273726
6,No Effect,16,6,0.8281718281718282,0.2547452547452547,0.3916083916083916
7,No Effect,16,7,0.07892107892107893,0.8111888111888111,0.13486513486513488
8,No Effect,16,8,0.22877122877122877,0.8561438561438561,0.12287712287712288
9,No Effect,16,9,0.18081918081918083,0.16183816183816183,0.12087912087912088
10,No Effect,16,10,0.8911088911088911,0.4075924075924076,0.5314685314685315
11,No Effect,16,11,0.8641358641358642,0.07892107892107893,0.8901098901098901
12,No Effect,16,12,0.4045954045954046,0.5914085914085914,0.3306693306693307
13,No Effect,16,13,0.5934065934065934,0.7082917082917083,0.26373626373626374
14,No Effect,16,14,0.13586413586413587,0.3946053946053946,0.3956043956043956
15,No Effect,16,15,0.00999000999000999,0.8771228771228772,0.056943056943056944
16,No Effect,16,16,0.5964035964035964,0.8291708291708292,0.4045954045954046
17,No Effect,16,17,0.8001998001998002,0.5584415584415584,0.30569430569430567
18,No Effect,16,18,0.43956043956043955,0.16383616383616384,0.8041958041958042
19,No Effect,16,19,0.2127872127872128,0.6393606393606394,0.4175824175824176
20,No Effect,16,20,0.7032967032967034,0.8651348651348651,0.16683316683316685
21,No Effect,16,21,0.8121878121878122,0.7092907092907093,0.4695304695304695
22,No Effect,16,22,0.3036963036963037,0.8951048951048951,0.13286713286713286
23,No Effect,16,23,0.011988011988011988,0.948051948051948,0.007992007992007992
24,No Effect,16,24,0.8161838161838162,0.6783216783216783,0.3836163836163836
25,No Effect,16,25,0.27672327672327673,0.7592407592407593,0.2627372627372627
26,No Effect,16,26,0.968031968031968,0.5284715284715285,0.3106893106893107
27,No Effect,16,27,0.6693306693306693,0.4695304695304695,0.4975024975024975
28,No Effect,16,28,0.44655344655344653,0.2647352647352647,0.6093906093906094
29,No Effect,16,29,0.8821178821178821,0.7402597402597403,0.19080919080919082
30,No Effect,16,30,0.7772227772227772,0.07092907092907093,0.939060939060939
31,No Effect,16,31,0.5414585414585414,0.3856143856143856,0.37662337662337664
32,No Effect,16,32,0.5964035964035964,0.6543456543456544,0.36563436563436563
33,No Effect,16,33,0.43756243756243757,0.8981018981018981,0.26573426573426573
34,No Effect,16,34,0.014985014985014986,0.7142857142857143,0.10589410589410589
35,No Effect,16,35,0.6753246753246753,0.36363636363636365,0.6733266733266733
36,No Effect,16,36,0.33766233766233766,0.11188811188811189,0.3996003996003996
37,No Effect,16,37,0.983016983016983,0.01998001998001998,0.995004995004995
38,No Effect,16,38,0.17682317682317683,0.5854145854145855,0.47952047952047955
39,No Effect,16,39,0.36063936063936064,0.35664335664335667,0.6893106893106893
40,No Effect,16,40,0.38161838161838163,0.8911088911088911,0.36163836163836166
41,No Effect,16,41,0.18981018981018982,0.7362637362637363,0.4925074925074925
42,No Effect,16,42,0.7032967032967034,0.10789210789210789,0.7952047952047953
43,No Effect,16,43,0.6403596403596403,0.01998001998001998,0.7242757242757243
44,No Effect,16,44,0.04095904095904096,0.9270729270729271,0.03496503496503497
45,No Effect,16,45,0.8231768231768232,0.7272727272727273,0.4515484515484515
46,No Effect,16,46,0.32867132867132864,0.7962037962037962,0.7512487512487512
47,No Effect,16,47,0.46253746253746253,0.8101898101898102,0.23776223776223776
48,No Effect,16,48,0.7852147852147852,0.4945054945054945,0.35264735264735264
49,No Effect,16,49,0.974025974025974,0.24775224775224775,0.7282717282717283
50,No Effect,16,50,0.5934065934065934,0.5634365634365635,0.5864135864135864
51,No Effect,16,51,0.23076923076923078,0.16683316683316685,0.6633366633366633
52,No Effect,16,52,0.26173826173826176,0.6643356643356644,0.19480519480519481
53,No Effect,16,53,0.11888111888111888,0.8351648351648352,0.12987012987012986
54,No Effect,16,54,0.7542457542457542,0.8311688311688312,0.2677322677322677
55,No Effect,16,55,0.5374625374625375,0.7272727272727273,0.12687312687312688
56,No Effect,16,56,0.5924075924075924,0.16483516483516483,0.8181818181818182
57,No Effect,16,57,0.6883116883116883,0.3156843156843157,0.8001998001998002
58,No Effect,16,58,0.2047952047952048,0.5684315684315684,0.4275724275724276
59,No Effect,16,59,0.4775224775224775,0.6583416583416584,0.6263736263736264
60,No Effect,16,60,0.15684315684315683,0.993006993006993,0.017982017982017984
61,No Effect,16,61,0.7612387612387612,0.07892107892107893,0.6873126873126874
62,No Effect,16,62,0.11488511488511488,0.8911088911088911,0.13586413586413587
63,No Effect,16,63,0.6153846153846154,0.6893106893106893,0.6883116883116883
64,No Effect,16,64,0.5834165834165834,0.6693306693306693,0.0919080919080919
65,No Effect,16,65,0.5034965034965035,0.8371628371628371,0.09090909090909091
66,No Effect,16,66,0.929070929070929,0.017982017982017984,0.977022977022977
67,No Effect,16,67,0.21978021978021978,0.2727272727272727,0.5004995004995005
68,No Effect,16,68,0.6033966033966034,0.11588411588411589,0.9250749250749251
69,No Effect,16,69,0.932067932067932,0.8081918081918081,0.5194805194805194
70,No Effect,16,70,0.5054945054945055,0.5674325674325674,0.5034965034965035
71,No Effect,16,71,0.983016983016983,0.016983016983016984,0.8641358641358642
72,No Effect,16,72,0.994005994005994,0.01098901098901099,0.984015984015984
73,No Effect,16,73,0.8721278721278721,0.0899100899100899,0.7272727272727273
74,No Effect,16,74,0.9000999000999002,0.4865134865134865,0.8091908091908092
75,No Effect,16,75,0.8721278721278721,0.03596403596403597,0.9440559440559441
76,No Effect,16,76,0.919080919080919,0.4855144855144855,0.5454545454545454
77,No Effect,16,77,0.6763236763236763,0.6283716283716284,0.10989010989010989
78,No Effect,16,78,0.8311688311688312,0.4515484515484515,0.2127872127872128
79,No Effect,16,79,0.01898101898101898,0.988011988011988,0.04795204795204795
80,No Effect,16,80,0.6973026973026973,0.4855144855144855,0.48451548451548454
81,No Effect,16,81,0.3226773226773227,0.7112887112887113,0.4255744255744256
82,No Effect,16,82,0.04795204795204795,0.986013986013986,0.027972027972027972
83,No Effect,16,83,0.7642357642357642,0.5764235764235764,0.4885114885114885
84,No Effect,16,84,0.15284715284715283,0.8721278721278721,0.5594405594405595
