,Simulation,NSubs,index,pvalue_cdiscr,pvalue_manova,pvalue_dcorr
122,No Effect,24,22,0.3926073926073926,0.006466234234066282,0.009014779536198787
123,No Effect,24,23,0.3166833166833167,0.058519082638768274,0.08746172548327703
124,No Effect,24,24,0.5584415584415584,0.18915294112275927,0.6454054388933294
125,No Effect,24,25,0.7012987012987013,0.1540900380640796,0.38915930057448855
126,No Effect,24,26,0.7192807192807192,0.008797408064544857,0.07482365211136033
127,No Effect,24,27,0.994005994005994,0.7710336687065329,1.0
128,No Effect,24,28,0.5914085914085914,0.4948525051593682,1.0
129,No Effect,24,29,0.8331668331668332,0.2192574534423069,0.45587292038813243
130,No Effect,24,30,0.5184815184815185,0.09372393479584061,0.15997533519306467
131,No Effect,24,31,0.6813186813186813,0.07553323909913584,0.030924633909558494
132,No Effect,24,32,0.984015984015984,0.982698270004661,0.5453432315657702
133,No Effect,24,33,0.17782217782217782,0.026560783522623536,0.05473770500947496
134,No Effect,24,34,0.3646353646353646,0.22115413069306158,0.3138994950095106
135,No Effect,24,35,0.35364635364635366,0.06813593248621619,0.04350312170966955
136,No Effect,24,36,0.48951048951048953,0.28642922668601356,0.115317707527923
137,No Effect,24,37,0.7052947052947053,0.20277477619166323,0.09124590965720522
138,No Effect,24,38,0.967032967032967,0.32617496777584837,0.4964965668130008
139,No Effect,24,39,0.20279720279720279,0.021443275596299268,0.022590276718746766
140,No Effect,24,40,0.23976023976023977,0.06939915848488426,0.2828146149869091
141,No Effect,24,41,0.1088911088911089,0.02565786708235307,0.08669887667083596
142,No Effect,24,42,0.8981018981018981,0.14051154848266492,0.31947290879591916
143,No Effect,24,43,0.7212787212787213,0.047514945424578424,0.24627626152071289
144,No Effect,24,44,0.957042957042957,0.8693335418115127,1.0
145,No Effect,24,45,0.5704295704295704,0.3849479470664955,0.4873381390188668
146,No Effect,24,46,0.24075924075924077,0.012310985100602743,0.019618624597502545
147,No Effect,24,47,0.42957042957042957,0.0007849898754877078,0.0038945688887772564
148,No Effect,24,48,0.9790209790209791,0.35019940997605964,0.5045424525922981
149,No Effect,24,49,0.9470529470529471,0.7230274229678533,1.0
150,No Effect,24,50,0.2017982017982018,0.018557880079423546,0.013592699013937488
151,No Effect,24,51,0.6683316683316683,0.2648888026681289,0.35867324225791963
152,No Effect,24,52,0.09290709290709291,0.4177936033876254,0.09704998367597766
153,No Effect,24,53,0.15484515484515485,0.0052219046700842835,0.03463572099470672
154,No Effect,24,54,0.5134865134865135,0.6552233338453117,0.5010612801895384
155,No Effect,24,55,0.7932067932067932,0.7763217028679994,0.777887900469818
156,No Effect,24,56,0.26173826173826176,0.0006175338330538469,0.016453825209396256
157,No Effect,24,57,0.7522477522477522,0.31579374313043546,0.5002322990285943
158,No Effect,24,58,0.6423576423576424,0.04541985399898099,0.0667920664283151
159,No Effect,24,59,0.3146853146853147,0.19639254226029526,0.06397153294763706
